step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
444,NA,496.0917,364.6166,712.1671,555.9736
444,387.9611,NA,264.6346,NA,NA
447,NA,473.8751,346.7204,680.4270,531.7046
450,NA,506.5797,374.6993,739.5259,574.3774
450,387.0744,NA,266.2590,NA,NA
453,NA,516.7287,382.5505,765.4946,587.4019
456,NA,483.7196,357.4143,704.2959,551.0182
456,384.1357,NA,266.7426,NA,NA
459,NA,479.8983,348.9135,693.9527,539.4956
462,NA,462.9438,339.1595,679.8633,533.0350
462,374.6403,NA,256.6336,NA,NA
465,NA,483.3005,353.2654,682.0500,530.9053
468,NA,458.0948,335.7447,663.9878,519.2422
468,375.9065,NA,258.1761,NA,NA
471,NA,478.9229,353.6178,693.8961,541.6707
474,NA,522.8276,397.5558,772.4874,609.4708
474,379.3497,NA,269.3640,NA,NA
477,NA,482.2776,357.2646,691.9767,541.7863
480,NA,470.2886,349.8423,680.2856,535.8354
480,373.9001,NA,258.3309,NA,NA
483,NA,479.4846,355.6620,702.6022,552.1346
486,NA,445.1071,327.8349,652.5156,514.0580
486,363.1612,NA,248.6184,NA,NA
489,NA,450.7760,332.2317,669.6187,526.8320
492,NA,458.1246,341.2462,673.9455,532.5880
492,361.3630,NA,249.7888,NA,NA
495,NA,456.8019,337.5120,664.7488,522.1818
498,NA,455.2302,338.6792,667.3310,525.9685
498,355.4159,NA,243.6535,NA,NA
501,NA,454.5342,336.5160,659.6415,517.4456
504,NA,441.0710,326.6020,646.9902,509.9628
504,350.3877,NA,244.2686,NA,NA
507,NA,448.4041,334.7099,666.9423,524.6505
510,NA,439.5124,326.3969,651.0250,512.9083
510,349.3961,NA,242.7926,NA,NA
513,NA,439.1873,328.4559,653.0602,516.8191
516,NA,438.0183,324.7679,645.9274,506.6666
516,349.5069,NA,242.9799,NA,NA
519,NA,439.2650,332.6169,652.7111,520.1876
522,NA,437.9094,329.5816,652.9379,519.0617
522,347.0983,NA,245.8321,NA,NA
525,NA,427.3136,325.8416,635.1974,508.2756
528,NA,436.0229,331.0709,649.7827,518.7585
528,343.9147,NA,244.3365,NA,NA
531,NA,404.9167,308.1622,617.3165,496.5800
534,NA,399.0289,298.4871,603.6328,480.9698
534,334.8289,NA,235.1029,NA,NA
537,NA,407.7200,311.2603,610.9214,490.8208
540,NA,404.6196,303.8978,614.6521,490.3169
540,331.6309,NA,234.1847,NA,NA
543,NA,409.3380,315.2249,615.7451,498.2527
546,NA,399.0724,300.9635,606.0248,484.8042
546,329.5715,NA,236.8403,NA,NA
549,NA,390.4123,299.9187,618.1157,500.7872
552,NA,398.4264,305.2563,608.7951,491.8329
552,320.6094,NA,230.6137,NA,NA
555,NA,392.1640,302.0299,609.8901,494.4245
558,NA,385.5735,294.1443,605.4475,489.6923
558,319.7281,NA,230.9703,NA,NA
561,NA,381.4371,293.4531,589.4876,478.7395
564,NA,382.4565,292.1829,584.1780,472.0476
564,320.7278,NA,230.5435,NA,NA
567,NA,376.1523,290.1431,579.0181,470.5822
570,NA,392.8644,300.0760,609.7944,489.9337
570,320.9484,NA,231.4897,NA,NA
573,NA,369.7779,285.4769,590.5109,479.2747
576,NA,401.3476,313.4474,616.3509,501.0262
576,312.3606,NA,231.6170,NA,NA
579,NA,373.5052,288.4987,583.7846,473.7748
582,NA,384.8976,299.3565,604.8746,491.8435
582,307.7899,NA,225.1974,NA,NA
585,NA,391.0680,304.1793,593.5643,481.6144
588,NA,373.1130,291.0513,574.2153,468.6551
588,305.1855,NA,223.4220,NA,NA
591,NA,359.8002,276.2579,575.1360,467.9975
