step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
735,NA,317.0691,255.6870,456.2827,377.8201
738,NA,320.9725,259.9718,458.0402,379.9771
738,249.9297,NA,191.4683,NA,NA
741,NA,319.0869,258.0016,452.7408,375.1034
744,NA,314.8867,255.3531,457.6727,380.5905
744,249.0691,NA,191.7189,NA,NA
747,NA,322.3258,261.9739,458.4419,381.1843
750,NA,317.6713,258.0029,451.8095,375.1716
750,245.7777,NA,189.4315,NA,NA
753,NA,313.5791,253.3733,454.3975,377.1348
756,NA,313.6048,254.4223,453.1320,376.8925
756,244.8986,NA,188.8170,NA,NA
759,NA,314.9889,255.7043,452.6172,376.7502
762,NA,315.5451,256.6666,451.7319,376.1773
762,245.6772,NA,189.6249,NA,NA
765,NA,314.0503,255.4893,451.7137,376.0135
768,NA,315.6678,256.8288,450.9705,375.5800
768,248.1743,NA,192.3362,NA,NA
771,NA,313.2915,255.2116,452.6439,377.2556
774,NA,315.7618,257.5394,450.6213,375.7772
774,245.7509,NA,190.3451,NA,NA
777,NA,313.9426,255.8024,451.0286,375.8806
780,NA,316.8013,258.2838,450.6960,375.9549
780,245.5204,NA,190.4775,NA,NA
783,NA,313.5838,255.4507,449.3812,374.3775
786,NA,316.8466,258.2260,450.5677,375.6683
786,244.0137,NA,188.8002,NA,NA
789,NA,312.0857,254.4473,451.6496,377.2375
792,NA,318.5504,260.4829,451.5807,377.1835
792,243.3407,NA,188.7287,NA,NA
795,NA,311.3585,253.9549,449.7961,375.4773
798,NA,312.5312,255.2242,451.5861,377.6144
798,244.0128,NA,189.9704,NA,NA
801,NA,314.7047,257.5643,451.5818,377.7113
804,NA,311.0135,254.2332,448.5743,374.8254
804,240.7053,NA,187.0581,NA,NA
807,NA,313.6872,256.4905,451.1510,377.5237
810,NA,310.9617,253.6721,449.4870,375.7620
810,240.3142,NA,186.6854,NA,NA
813,NA,314.1115,257.0299,449.8846,376.3678
816,NA,312.1873,255.5726,449.9279,376.5764
816,244.0153,NA,190.2495,NA,NA
819,NA,314.8947,258.2628,449.7989,376.5066
822,NA,307.0850,250.6810,448.7809,375.4980
822,242.4131,NA,188.9309,NA,NA
825,NA,310.7894,254.5412,449.9056,377.1439
828,NA,307.8473,252.1887,447.9419,375.0625
828,239.5851,NA,186.5180,NA,NA
831,NA,311.4699,255.5330,449.6848,377.0689
834,NA,309.0862,253.3853,448.5201,375.6664
834,240.6577,NA,187.7256,NA,NA
837,NA,309.0685,253.9690,448.8835,376.7951
840,NA,310.1374,254.5937,447.6368,375.2196
840,241.4637,NA,188.7405,NA,NA
843,NA,307.2059,251.6025,447.7861,375.2715
846,NA,307.2206,252.0478,446.3954,374.2047
846,239.7735,NA,187.0163,NA,NA
849,NA,308.3273,253.2301,445.4243,373.5950
852,NA,305.4909,250.5402,448.5513,376.5857
852,238.0157,NA,185.6853,NA,NA
855,NA,308.5788,252.9644,447.4103,375.0834
858,NA,309.5838,254.5919,445.2670,373.8271
858,237.3247,NA,185.4597,NA,NA
861,NA,305.3668,250.6559,447.3102,375.5323
864,NA,310.0516,255.3243,446.0457,374.6637
864,239.5254,NA,187.4486,NA,NA
867,NA,307.4337,252.4752,446.7798,375.2307
870,NA,309.2004,255.5129,448.7920,377.8710
870,236.8128,NA,185.6715,NA,NA
873,NA,312.5798,256.8333,449.4067,377.5019
876,NA,310.1041,255.5848,447.7021,376.4960
876,237.8358,NA,186.2689,NA,NA
